open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2026-07-15 20:00:00+00:00,79081.0,79168.0,78861.6,78931.3,2254.988,2026-07-15 20:59:59.999000+00:00,178203040.3,62188,966.59,76399235.54,0
2026-07-15 21:00:00+00:00,78931.4,79113.7,78931.3,79070.1,1362.084,2026-07-15 21:59:59.999000+00:00,107648450.9,43666,792.199,62609100.01,0
2026-07-15 22:00:00+00:00,79070.0,79135.3,79035.1,79074.0,1224.728,2026-07-15 22:59:59.999000+00:00,96854543.73,34410,578.258,45729087.46,0
2026-07-15 23:00:00+00:00,79074.0,79199.7,79031.7,79075.6,1866.35,2026-07-15 23:59:59.999000+00:00,147668287.1,47892,962.963,76194283.84,0
2026-07-16 00:00:00+00:00,79075.6,79155.9,78970.4,79128.5,1948.608,2026-07-16 00:59:59.999000+00:00,154040810.5,48286,1039.902,82212050.09,0
2026-07-16 01:00:00+00:00,79128.4,79178.0,79040.7,79113.9,1461.703,2026-07-16 01:59:59.999000+00:00,115634808.1,43686,824.526,65230485.39,0
2026-07-16 02:00:00+00:00,79113.9,79153.7,79017.6,79041.7,1343.056,2026-07-16 02:59:59.999000+00:00,106227817.5,36151,656.529,51927360.31,0
2026-07-16 03:00:00+00:00,79041.7,79096.8,78811.0,78999.9,3080.363,2026-07-16 03:59:59.999000+00:00,243227127.0,67152,1282.586,101282660.8,0
2026-07-16 04:00:00+00:00,78999.9,79001.0,78889.7,78989.9,1488.42,2026-07-16 04:59:59.999000+00:00,117533856.0,38852,775.893,61267193.16,0
2026-07-16 05:00:00+00:00,78989.9,79012.9,78393.9,78610.2,9244.159,2026-07-16 05:59:59.999000+00:00,727174336.5,161097,3093.119,243382491.8,0
2026-07-16 06:00:00+00:00,78610.2,78610.3,78000.4,78334.3,13808.169,2026-07-16 06:59:59.999000+00:00,1081421216.0,252741,6460.558,506045867.8,0
2026-07-16 07:00:00+00:00,78334.3,78527.8,78291.0,78389.5,3590.485,2026-07-16 07:59:59.999000+00:00,281500532.0,71522,2001.216,156901347.9,0
2026-07-16 08:00:00+00:00,78389.5,78410.1,77850.0,78052.1,10664.7,2026-07-16 08:59:59.999000+00:00,832368337.5,205419,4434.124,346098628.5,0
2026-07-16 09:00:00+00:00,78052.1,78071.9,77601.8,77937.6,10160.386,2026-07-16 09:59:59.999000+00:00,790813704.3,213702,4477.365,348509375.0,0
2026-07-16 10:00:00+00:00,77937.5,78163.3,77937.5,78042.5,3897.654,2026-07-16 10:59:59.999000+00:00,304262349.3,84911,2126.383,165998840.0,0
2026-07-16 11:00:00+00:00,78042.5,78100.0,77889.0,77980.0,2627.039,2026-07-16 11:59:59.999000+00:00,204915956.4,67969,1237.749,96550164.36,0
2026-07-16 12:00:00+00:00,77980.0,77987.9,77800.0,77987.9,2790.145,2026-07-16 12:59:59.999000+00:00,217347962.7,76643,1431.657,111528092.8,0
2026-07-16 13:00:00+00:00,77987.9,78327.0,77850.5,78090.3,4921.309,2026-07-16 13:59:59.999000+00:00,384352381.8,110670,2917.73,227899337.0,0
2026-07-16 14:00:00+00:00,78090.3,78254.0,78034.0,78194.1,2455.911,2026-07-16 14:59:59.999000+00:00,191920261.8,66580,1354.053,105813143.5,0
